Date,ADA_Price(USDT),ADA_Volume(USDT),ADA_Tradecount,BNB_Price(USDT),BNB_Volume(USDT),BNB_Tradecount,BTC_Price(USDT),BTC_Volume(USDT),BTC_Tradecount,DOT_Price(USDT),DOT_Volume(USDT),DOT_Tradecount,EOS_Price(USDT),EOS_Volume(USDT),EOS_Tradecount,ETC_Price(USDT),ETC_Volume(USDT),ETC_Tradecount,ETH_Volume(USDT),ETH_Tradecount,LINK_Price(USDT),LINK_Volume(USDT),LINK_Tradecount,LTC_Price(USDT),LTC_Volume(USDT),LTC_Tradecount,SOL_Price(USDT),SOL_Volume(USDT),SOL_Tradecount,TRX_Price(USDT),TRX_Volume(USDT),TRX_Tradecount,XLM_Price(USDT),XLM_Volume(USDT),XLM_Tradecount,XRP_Price(USDT),XRP_Volume(USDT),XRP_Tradecount,BTC-Dominance,AddressCount,AverageDailyTransactionFee,AvgGasPrice,BlockCountRewards,BlockDifficulty,BlockReward,BlockSize,BlockTime,DailyActiveERC20Address,DailyActiveEthAddress,EnsRegistrations,EtherPrice,GasLimit,GasUsed,MarketCap,NetworkHash,NetworkUtilization,ERC20 daily token transfer,TransactionFee, Ethereum daily transactions,Uncles,verified-contracts,USD_EURO,USD_YUAN,WGS7YR,Gold_Price,NASDAQ_Ind,OIL_PRICE,GOOGLE_TREND,TWEETS
1/15/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.3,44209,0,57562550443,5084,8.996,26797.34375,1006,16.61,6,3126,0,1.22,3141784,409950494,76547289.88,567.1537,0.0257,8,2.32E+19,9875,363,0,0.912075885,6.584,1.87,1081.1,115.77,24.74,1.65,0
1/16/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.3,44494,0,55150540726,5046,9.202,26523.125,967,16.79,0,2666,0,1.22,3141697,418575124,76573813,574.0822,0.0264,0,2.27E+19,10664,344,0,0.912075885,6.584,1.79,1081.1,115.77,24.74,1.56,0
1/17/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.3,44771,0,53477721574,5036,9.068,26599.84375,887,16.76,4,2579,0,1.31,3141705,323467063,76600412.84,568.3259,0.0204,2,1.70E+19,9747,379,0,0.912075885,6.584,1.79,1081.1,115.77,24.74,1.14,0
1/18/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.3,45167,0,53945900879,5072,9.454,26620.15625,1057,16.71,5,3051,0,1.47,3141706,591740638,76627033,591.419,0.0371,3,3.09E+19,12916,333,0,0.912075885,6.584,1.79,1090.45,115.77,23.58,2.1,0
1/19/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.62,45486,0,53767376718,4972,9.539,26092.8125,1107,16.93,2,2846,0,1.37,3142004,678347830,76653125.81,584.904,0.0434,1,3.56E+19,13420,326,0,0.916926462,6.5783,1.79,1087,113.64,23.85,2.07,0
1/20/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.62,45937,0,55721616549,5038,9.414,26542.5,959,16.72,5,3351,0,1.53,3141623,348032526,76679668.31,588.1518,0.022,4,1.90E+19,10610,360,0,0.916758343,6.5781,1.79,1093.2,113.73,22.48,2.01,0
1/21/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.62,46362,0,60639283859,4963,9.598,25919.21875,944,16.97,3,2902,0,1.54,3141658,342268224,76705587.53,584.1308,0.022,3,2.03E+19,10734,295,0,0.923105326,6.5794,1.79,1096.8,114.91,22.89,2.4,0
1/22/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.62,46783,0,56195249052,5007,9.897,26255,1027,16.81,4,2978,0,1.52,3146193,570242575,76731842.53,610.6596,0.0362,4,3.12E+19,13848,324,0,0.924727205,6.5788,1.79,1097.65,117.25,25.5,2.07,0
1/23/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.62,47374,0,55504259187,4928,10.059,25769.6875,906,17.12,4,3410,0,2.03,3141776,322444465,76757612.22,608.8656,0.0208,4,1.74E+19,11025,302,0,0.924727205,6.5788,1.75,1097.65,117.25,25.5,2.1,0
1/24/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.62,48105,0,58951408559,5168,10.133,27242.96875,993,16.39,8,3823,0,2.1,3141605,423769859,76784855.19,650.5701,0.0261,5,2.37E+19,12798,379,0,0.924727205,6.5788,1.75,1097.65,117.25,25.5,2.19,0
1/25/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.62,48925,0.01,56752420983,4881,10.33,25697.03125,1335,17.31,3,4040,0,2.5,3141736,726749777,76810552.22,624.8285,0.0474,2,4.02E+19,17121,345,0,0.923190547,6.579,1.75,1103.7,116.09,25.58,2.4,0
1/26/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.82,49844,0.01,58955359850,5152,10.611,26989.21875,1228,16.37,2,4329,0,2.3,3141650,673354229,76837541.44,672.8732,0.0416,4,3.79E+19,16511,327,0,0.921998894,6.5814,1.75,1114.7,116.91,25.11,3,0
1/27/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.82,50637,0.01,58687046251,4983,10.82,26100.78125,1566,16.96,2,4056,0,2.42,3141823,988064305,76863642.22,663.7333,0.0631,1,5.69E+19,18747,317,0,0.920217171,6.5773,1.75,1116.5,115.52,26.4,2.67,0
1/28/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.82,51643,0.01,56180261528,5059,10.449,26564.6875,1424,16.96,7,4466,0,2.55,3141716,757796542,76890206.91,652.1991,0.0477,1049,4.14E+19,16765,334,0,0.913075237,6.5744,1.75,1119,114.69,28.28,2.25,0
1/29/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.82,52611,0.01,59508641167,4981,10.883,26160.46875,1308,17.27,10,4323,0,2.41,3141700,662122614,76916367.38,670.1196,0.0423,232,3.74E+19,16395,339,0,0.923190547,6.5752,1.75,1112.9,117.04,29.11,2.01,0
1/30/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.82,53598,0.01,67198755701,5017,10.876,26193.125,1179,17.11,12,4341,0,2.43,3141702,547033880,76942560.5,668.8032,0.0347,13,3.54E+19,14661,296,0,0.923190547,6.5752,1.62,1112.9,117.04,29.11,2.34,0
1/31/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.82,54494,0.01,66544976813,4872,10.696,25681.875,1135,17.63,4,4392,0,2.2,3141694,528433090,76968242.38,646.7083,0.0345,2,3.39E+19,14166,352,0,0.923190547,6.5752,1.62,1112.9,117.04,29.11,2.01,0
2/1/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.82,55186,0,66170097350,5015,10.917,26431.25,1081,16.96,11,4200,0,2.17,3141687,467975052,76994673.63,679.1845,0.0297,13,3.25E+19,14199,360,0,0.918442322,6.5778,1.62,1122,116.92,29.73,2.76,0
2/2/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.3,55768,0.01,65763607541,4955,10.674,25868.4375,1077,17.15,165,4167,0,2.45,3141681,463852720,77020542.06,648.4793,0.0298,169,2.95E+19,14291,294,0,0.916758343,6.5795,1.62,1123.6,114.89,28.4,2.8,0
2/3/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.3,56445,0,64138762372,5199,10.857,27297.96875,1060,16.36,17,4328,0,2.53,3141616,454011879,77047840.03,696.9209,0.0278,24,2.77E+19,14274,347,0,0.904895485,6.5765,1.62,1130,114.86,28.65,2.72,0
2/4/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.3,57050,0.01,73409019027,5062,11.114,26562.34375,1087,16.8,13,4078,0,2.57,3141737,490608958,77074402.38,694.2255,0.0308,8,3.27E+19,14371,335,0,0.892936869,6.5638,1.62,1146.25,115.72,29.93,2.92,0
2/5/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.3,57863,0.01,68267066894,5046,11.176,26558.59375,1117,16.84,8,4699,0,2.57,3141759,532003821,77100960.97,698.6372,0.0336,12,3.90E+19,15249,355,0,0.898391879,6.571,1.62,1158.5,112.96,29.3,2.36,0
2/6/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.3,58402,0.02,1.32E+11,4987,10.867,26345.78125,1678,17.05,7,3840,0,2.53,3148709,1516518359,77127306.75,674.6478,0.0965,9,2.41E+20,31418,377,0,0.898391879,6.571,1.46,1158.5,112.96,29.3,2.08,0
2/7/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.3,58925,0.01,81674346130,5087,11.05,26684.6875,1026,16.69,18,4055,0,3,3141675,456085675,77153991.44,693.3343,0.0285,21,5.31E+19,14264,334,0,0.898391879,6.571,1.46,1158.5,112.96,29.3,2.36,0
2/8/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.3,59593,0.01,80464718771,5071,11.54,26655,1034,16.75,17,4497,0,3.16,3141641,449250211,77180646.44,723.2448,0.0282,32,3.78E+19,14719,344,0,0.895255148,6.571,1.46,1173.4,110.12,29,3.16,0
2/9/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.34,60346,0.01,1.25E+11,5055,11.245,26471.09375,1032,16.92,7,4757,0,3.76,3141802,459451796,77207117.53,699.4473,0.0289,5,5.02E+19,15517,319,0,0.884955752,6.571,1.46,1188.9,109.4,28.33,3.56,0
2/10/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.34,61635,0.01,1.41E+11,4961,11.659,26161.25,1106,17.26,19,6032,0,4.35,3141830,490191172,77233278.78,718.0474,0.0315,13,5.89E+19,17141,360,0,0.891106755,6.571,1.46,1183.4,109.6,25.93,3.84,0
2/11/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.34,63947,0.01,66426480457,5019,11.994,26477.8125,1280,17.02,28,7682,0,6.38,3141718,682060218,77259756.59,747.5285,0.0433,51,4.65E+19,21440,366,0,0.880126738,6.571,1.46,1223.25,108.82,25.21,4,0
2/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.34,65483,0.01,62799761220,5033,11.553,26502.03125,1171,16.99,13,6485,0,5.27,3141698,540874146,77286258.63,720.7269,0.0342,10,3.31E+19,18109,357,0,0.890075656,6.571,1.46,1239.5,110.1,26.74,3.4,0
2/13/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.34,66901,0.01,57729244744,5093,12.097,26881.5625,1222,16.82,6,6066,0,5.22,3141725,634287258,77313140.19,766.029,0.0396,3,3.61E+19,19327,378,0,0.890075656,6.571,1.54,1239.5,110.1,26.74,2.2,0
2/14/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.34,68010,0.01,53479540613,4990,12.497,26329.0625,1140,17.03,7,5550,0,5.2,3141778,514552660,77339469.25,775.2691,0.0328,6,2.78E+19,16624,370,0,0.890075656,6.571,1.54,1239.5,110.1,26.74,2.64,0
2/15/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.34,68996,0.01,56788416456,4975,12.875,26225.3125,1127,17.2,16,5686,0,5.22,3141706,545779880,77365694.56,794.6889,0.0349,23,3.07E+19,17159,358,0,0.890075656,6.571,1.54,1208.45,110.1,28.44,3.12,0
2/16/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.88,69956,0.01,55814592783,5025,12.696,26445.78125,1128,17.02,23,5689,0,4.25,3141729,589465103,77392140.34,789.694,0.0373,16,3.33E+19,17549,349,0,0.897666068,6.5154,1.54,1212,112.56,29.35,2.96,0
2/17/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.88,70919,0.01,54601880947,4857,12.722,25672.03125,1265,17.5,27,5730,0,3.86,3143592,724546098,77417812.38,770.0884,0.0474,25,4.10E+19,19990,373,0,0.897666068,6.527,1.54,1202.4,114.67,28.18,3.44,0
2/18/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.88,71720,0.01,54513971078,4999,12.182,26214.84375,1109,17.1,10,5538,0,4.36,3141782,538282068,77444027.22,750.9481,0.0343,8,2.93E+19,16969,327,0,0.901550667,6.5163,1.54,1204.4,113.74,29.96,3.28,0
2/19/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.88,73097,0.01,54608221632,5033,12.651,26655.46875,1157,16.91,6,5532,0,4.45,3141756,656406787,77470682.69,794.8141,0.0415,4,3.70E+19,18412,395,0,0.898714838,6.5202,1.54,1221.5,114.12,29.17,3.32,0
2/20/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.88,73761,0.01,53778238540,5051,12.814,26560.78125,1046,16.83,0,5229,0,4.37,3141824,499477626,77497243.47,800.292,0.0315,0,2.68E+19,16714,345,0,0.898714838,6.5202,1.52,1221.5,114.12,29.17,2.32,0
2/21/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.88,75500,0.01,54255151037,5055,12.959,26536.5625,1051,16.81,6,6288,0,4.63,3141902,507918522,77523780.03,808.8832,0.032,3,2.81E+19,17119,338,0,0.898714838,6.5202,1.52,1221.5,114.12,29.17,2.88,0
2/22/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.88,76417,0.01,59577980579,5103,13.432,26757.8125,1090,16.68,16,6009,0,5.6,3142258,554402169,77550537.84,844.5991,0.0346,24,3.25E+19,18190,330,0,0.907605736,6.5197,1.52,1203.65,115.7,29.48,3.56,0
2/23/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.21,77363,0.03,61016867321,4969,13.784,26170,1117,17,15,6049,0,5.7,3142409,1552859093,77576707.84,849.5091,0.0993,39,9.42E+19,18482,356,0,0.907770516,6.5263,1.52,1218.75,114.55,28.94,3.36,0
2/24/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.21,78179,0.02,58177356219,5029,13.623,26426.875,1109,16.89,19,6037,0,6.23,3143956,893246284,77603134.72,846.5788,0.0563,34,5.20E+19,19540,340,0,0.907358679,6.529,1.52,1232.25,115.6,28.3,3.36,0
2/25/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.21,79187,0.01,57464169480,5128,13.574,26823.75,1114,16.51,20,6600,0,5.93,3141897,568292172,77629958.47,855.9038,0.0353,33,3.16E+19,19503,320,0,0.906947216,6.532,1.52,1235.4,115.66,29.19,3.48,0
2/26/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.21,80568,0.01,54600904591,5055,14.049,26654.0625,1289,16.76,17,5928,0,6.03,3143521,961624302,77656612.53,881.5024,0.0605,38,5.09E+19,21068,366,0,0.914745701,6.539,1.52,1231,116.8,30.74,3.12,0
2/27/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.21,81372,0.01,54108259575,4992,14.565,26199.84375,1102,16.95,14,5919,0,6.31,3141967,532969743,77682812.38,896.6538,0.034,11,2.84E+19,18981,327,0,0.914745701,6.539,1.62,1231,116.8,30.74,2.92,0
2/28/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.21,82742,0.01,54072562583,5029,14.737,26422.03125,1091,16.8,13,6499,0,6.5,3141769,524028419,77709234.41,915.9603,0.0332,9,2.94E+19,19063,341,0,0.914745701,6.539,1.62,1231,116.8,30.74,3.04,0
2/29/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.21,84582,0.01,58416492222,4820,14.937,25229.53125,1175,17.47,23,7116,0,6.35,3141964,583141365,77734463.94,885.9939,0.0385,45,3.29E+19,20358,305,0,0.920132499,6.5525,1.62,1234.15,116.11,30.13,3.6,0
3/1/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.21,86447,0.01,59690933816,5052,14.453,26481.09375,1157,16.58,25,7659,0,7.59,3142423,588897890,77760945.03,900.4969,0.0371,40,3.40E+19,21778,331,0,0.921913893,6.55,1.62,1240,117.94,31.65,3.25,0
3/2/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.21,88628,0.01,67322497890,5086,14.99,26644.21875,1199,16.58,40,8545,0,8.7,3142665,610077143,77787589.25,939.1247,0.0382,46,3.91E+19,23562,327,0,0.92208391,6.5499,1.62,1229.35,120.14,31.72,3.45,0
